year,date,collective,title,attendees,rubbish_kg,trees,type
2025,2025-01-15,Melbourne,Brighton Beach Clean,14,,,Conservation
2025,2025-01-31,Melbourne,Nature Hike,10,,,Recreation
2025,2025-02-22,Melbourne,Brighton Baths,12,,,Recreation
2025,2025-03-02,Melbourne,CUAD,18,,,Conservation
2025,2025-03-15,Melbourne,Nature Hike,10,,,Recreation
2025,2025-04-05,Melbourne,Tree Planting & Camp Out,33,,80,Conservation
2025,2025-04-09,Melbourne,Beach Clean & BBQ,35,,,Conservation & Recreation
2025,2025-05-18,Melbourne,Dight Falls Nature Hike,23,,,Recreation
2025,2025-05-25,Melbourne,Frankston Beach Clean Up,16,,,Conservation
2025,2025-06-22,Melbourne,Tree Planting,15,,500,Conservation
2025,2025-07-13,Melbourne,Trig Point hike - Churchill national park ,12,,0,Recreation
2025,2025-07-30,Melbourne,Brighton Beach clean-up ,13,,0,Conservation
2025,2025-08-09,Melbourne,Tree Plantnig & Campout,38,,2500,Conservation & Recreation
2025,2025-08-17,Melbourne,Coexist X MCCC Landcare Balnarring Tree planting ,33,,1300,Conservation
2025,2025-09-14,Melbourne,Healesville tree planting ,23,,1200,Conservation
2025,2025-09-21,Melbourne,Coexist / regenerating farms Yarra valley treeplanting 2.0,20,,1600,Conservation
2025,2025-10-08,Melbourne,Mentone beach cleanup ,8,,0,Conservation
2025,2025-10-25,Melbourne,Red Gum Trail Hike,17,,,Recreation
2025,2025-11-16,Melbourne,Yarra Riverside Clean Up,18,,,Conservation
2026,2026-02-01,Melbourne City,Sherbrooke Falls Nature Hike,30,,,Recreation
2026,2026-02-15,Melbourne City,Elwood Sunset Beach Clean Up,30,,,Conservation
2026,2026-02-14,Melbourne City,Zorali Back to Nature Campout,35,,82,Conservation
2026,2026-02-22,Melbourne City,Churchill NP Nature Hike,10,,,Recreation
2026,2026-02-21,Geelong,Geelong Waterfront Clean Up,5,,,Conservation
2026,2026-03-01,Geelong,CUAD Ocean Grove Beach,22,,,Conservation
2026,2026-03-01,Melbourne City,CUAD Catani Gardens Clean up,30,,,Conservation
2026,2026-03-01,Mornington Peninsula,CUAD Safety Beach 2026 w/ Zorali,10,,,Conservation
2026,2026-03-07,Geelong,Buckley Falls Nature Walk,4,,,Recreation
2026,2026-03-22,Melbourne City,Blue Lake Nature Hike,12,,,Recreation
2026,2026-03-23,Mornington Peninsula,Greens Bush Hike,13,,,Recreation
2026,2026-04-12,Melbourne City,Bee Habitat Workshop,34,,,Conservation
2026,2026-04-12,Mornington Peninsula,Beach Clean Up,5,,,Conservation
2026,2026-04-18,Geelong,Balyang Sanctuary Clean Up,3,,,Conservation
2026,2026-04-25,Mornington Peninsula,Arthur’s seat hike,15,,,Recreation
2026,2026-04-26,Geelong,Botanical Gardens Nature Walk,8,,,Recreation
2026,2026-04-26,Melbourne City,Altona Beach Clean Up,14,,,Conservation
2026,2026-05-03,Melbourne City,Merri Mornings,40,,,Conservation
2026,2026-05-09,Melbourne City,Lilydale Tree Planting w/ Tree Project,26,,1000,Conservation
2026,2026-05-13,Geelong,Rippleside Costal Walk,6,,,Recreation
2026,2026-05-17,Melbourne City,Lilydale Tree Planting w/ Yarra Ranges Council,18,,1000,Conservation
2026,2026-05-16,Mornington Peninsula,Balnarring Tree Planting w/ MCC Landcare,20,,50,Conservation
2026,2026-05-23,Geelong,Torquay Beach Clean Up,8,,,Conservation
2026,2026-05-31,Mornington Peninsula,The Briars Nature Hike & BBQ,6,,,Recreation
2026,2026-06-07,Mornington Peninsula,Canadian Bay Beach Clean Up,9,,,Conservation
